timestamp,tile_clicked,damage_received,created_word,damage_dealt,current_level,program_closed
20260420_163452,,5,,,11,
20260420_163459,True,,,,11,
20260420_163459,True,,,,11,
20260420_163459,True,,,,11,
20260420_163500,True,,,,11,
20260420_163501,True,,,,11,
20260420_163502,True,,,,11,
20260420_163502,True,,,,11,
20260420_163502,True,,,,11,
20260420_163504,,,roc,15,11,
20260420_163508,True,,,,11,
20260420_163508,True,,,,11,
20260420_163509,True,,,,11,
20260420_163512,True,,,,11,
20260420_163514,True,,,,11,
20260420_163515,True,,,,11,
20260420_163516,True,,,,11,
20260420_163516,True,,,,11,
20260420_163517,True,,,,11,
20260420_163519,,,cif,15,11,
20260420_163520,True,,,,11,
20260420_163521,True,,,,11,
20260420_163521,True,,,,11,
20260420_163522,True,,,,12,
20260420_163523,,,quit,24,12,
20260420_163525,True,,,,12,
20260420_163525,True,,,,12,
20260420_163526,True,,,,12,
20260420_163526,,3,,,12,
20260420_163529,,,mil,15,12,
20260420_163533,,6,,,12,
20260420_163534,True,,,,12,
20260420_163535,True,,,,12,
20260420_163535,True,,,,12,
20260420_163537,,,fum,15,12,
20260420_163540,True,,,,12,
20260420_163540,True,,,,12,
20260420_163540,True,,,,12,
20260420_163541,,,rab,15,12,
20260420_163544,True,,,,12,
20260420_163544,True,,,,12,
20260420_163544,True,,,,12,
20260420_163545,True,,,,12,
20260420_163545,True,,,,12,
20260420_163546,True,,,,12,
20260420_163546,True,,,,12,
20260420_163548,True,,,,12,
20260420_163549,True,,,,12,
20260420_163549,True,,,,12,
20260420_163551,True,,,,12,
20260420_163552,,,fam,15,12,
20260420_163555,True,,,,13,
20260420_163556,True,,,,13,
20260420_163557,True,,,,13,
20260420_163558,True,,,,13,
20260420_163558,True,,,,13,
20260420_163559,True,,,,13,
20260420_163559,True,,,,13,
20260420_163600,True,,,,13,
20260420_163602,True,,,,13,
20260420_163603,True,,,,13,
20260420_163603,True,,,,13,
20260420_163606,,,zeus,25,13,
20260420_163607,True,,,,13,
20260420_163607,True,,,,13,
20260420_163607,True,,,,13,
20260420_163608,True,,,,13,
20260420_163608,,5,,,13,
20260420_163610,,,lone,35,13,
20260420_163613,,5,,,13,
20260420_163615,True,,,,13,
20260420_163616,True,,,,13,
20260420_163616,True,,,,13,
20260420_163617,True,,,,13,
20260420_163617,True,,,,13,
20260420_163617,True,,,,13,
20260420_163619,True,,,,13,
20260420_163620,,,zol,19,13,
20260420_163624,,5,,,13,
20260420_163625,True,,,,13,
20260420_163625,True,,,,13,
20260420_163625,True,,,,13,
20260420_163627,,,rue,18,13,
20260420_163630,True,,,,14,
20260420_163630,True,,,,14,
20260420_163630,True,,,,14,
20260420_163630,True,,,,14,
20260420_163631,,,mant,46,14,
20260420_163639,True,,,,14,
20260420_163640,True,,,,14,
20260420_163641,True,,,,14,
20260420_163641,True,,,,14,
20260420_163642,True,,,,14,
20260420_163644,True,,,,14,
20260420_163644,True,,,,14,
20260420_163646,,,queer,30,14,
20260420_163649,True,,,,14,
20260420_163649,True,,,,14,
20260420_163650,True,,,,14,
20260420_163651,,,sok,18,14,
20260420_163654,True,,,,15,
20260420_163654,True,,,,15,
20260420_163654,True,,,,15,
20260420_163656,,,fic,18,15,
20260420_163658,True,,,,15,
20260420_163658,True,,,,15,
20260420_163659,True,,,,15,
20260420_163700,True,,,,15,
20260420_163700,True,,,,15,
20260420_163700,True,,,,15,
20260420_163704,,,lone,23,15,
20260420_163706,True,,,,15,
20260420_163706,True,,,,15,
20260420_163706,True,,,,15,
20260420_163706,,4,,,15,
20260420_163709,,,ray,10,15,
20260420_163712,,7,,,15,
20260420_163715,True,,,,15,
20260420_163716,True,,,,15,
20260420_163716,True,,,,15,
20260420_163717,True,,,,15,
20260420_163717,True,,,,15,
20260420_163719,,,cup,18,15,
20260420_163721,True,,,,15,
20260420_163722,True,,,,15,
20260420_163722,True,,,,15,
20260420_163724,,,raf,18,15,
20260420_163727,,,,,16,True
20260420_163846,,,,,16,True
20260420_164949,,,,,16,True
20260420_165831,,,,,16,True
20260420_170126,,,,,16,True
20260420_171934,,,,,16,True
20260420_172028,,,,,16,True
20260420_175609,,,,,16,True
20260420_180802,,,,,16,True
20260420_180832,,,,,16,True
20260420_180841,,,,,16,True
20260420_180846,,,,,16,True
20260420_180947,,,,,16,True
20260420_181127,,,,,16,True
20260420_181443,,,,,16,True
20260420_181823,,,,,16,True
20260420_183030,,,,,16,True
20260420_183413,,,,,16,True
20260420_183634,,,,,16,True
20260420_184041,,,,,16,True
20260420_184143,,,,,16,True
20260420_184145,True,,,,16,
20260420_184145,True,,,,16,
20260420_184146,True,,,,16,
20260420_184151,True,,,,16,
20260420_184155,True,,,,16,
20260420_184156,True,,,,16,
20260420_184158,,,sour,31,16,
20260420_184200,,6,,,16,
20260420_184201,,6,,,16,
20260420_184203,True,,,,16,
20260420_184203,True,,,,16,
20260420_184203,True,,,,16,
20260420_184204,True,,,,16,
20260420_184204,True,,,,16,
20260420_184205,True,,,,16,
20260420_184207,,,pore,23,16,
20260420_184209,True,,,,16,
20260420_184209,,6,,,16,
20260420_184209,True,,,,16,
20260420_184210,True,,,,16,
20260420_184210,True,,,,16,
20260420_184210,,6,,,16,
20260420_184212,True,,,,16,
20260420_184213,True,,,,16,
20260420_184214,True,,,,16,
20260420_184214,True,,,,16,
20260420_184215,True,,,,16,
20260420_184216,True,,,,16,
20260420_184216,True,,,,16,
20260420_184217,True,,,,16,
20260420_184218,,,kai,27,16,
20260420_184220,,6,,,16,
20260420_184227,True,,,,16,
20260420_184227,True,,,,16,
20260420_184227,True,,,,16,
20260420_184229,,,ruy,20,16,
20260420_184231,True,,,,17,
20260420_184234,True,,,,17,
20260420_184237,True,,,,17,
20260420_184238,True,,,,17,
20260420_184239,True,,,,17,
20260420_184239,True,,,,17,
20260420_184240,True,,,,17,
20260420_184241,True,,,,17,
20260420_184243,True,,,,17,
20260420_184247,True,,,,17,
20260420_184248,True,,,,17,
20260420_184249,True,,,,17,
20260420_184249,True,,,,17,
20260420_184249,True,,,,17,
20260420_184251,,,pure,92,17,
20260420_184253,,6,,,17,
20260420_184253,True,,,,17,
20260420_184254,True,,,,17,
20260420_184255,True,,,,17,
20260420_184255,True,,,,17,
20260420_184256,True,,,,17,
20260420_184257,,,see,18,17,
20260420_184300,True,,,,18,
20260420_184301,True,,,,18,
20260420_184302,True,,,,18,
20260420_184302,True,,,,18,
20260420_184302,True,,,,18,
20260420_184303,True,,,,18,
20260420_184303,True,,,,18,
20260420_184306,True,,,,18,
20260420_184307,True,,,,18,
20260420_184308,True,,,,18,
20260420_184309,True,,,,18,
20260420_184309,True,,,,18,
20260420_184309,True,,,,18,
20260420_184312,True,,,,18,
20260420_184313,True,,,,18,
20260420_184314,True,,,,18,
20260420_184314,True,,,,18,
20260420_184315,True,,,,18,
20260420_184315,True,,,,18,
20260420_184315,True,,,,18,
20260420_184318,,,seel,29,18,
20260420_184320,,4,,,18,
20260420_184322,True,,,,18,
20260420_184322,True,,,,18,
20260420_184323,True,,,,18,
20260420_184324,,,mib,18,18,
20260420_184326,True,,,,18,
20260420_184326,True,,,,18,
20260420_184327,,4,,,18,
20260420_184327,True,,,,18,
20260420_184327,True,,,,18,
20260420_184329,,,moob,15,18,
20260420_184331,True,,,,18,
20260420_184331,True,,,,18,
20260420_184331,True,,,,18,
20260420_184332,,4,,,18,
20260420_184332,True,,,,18,
20260420_184334,,,tull,29,18,
20260420_184337,,7,,,18,
20260420_184342,True,,,,18,
20260420_184342,True,,,,18,
20260420_184342,True,,,,18,
20260420_184343,,,qix,24,18,
20260420_184345,True,,,,18,
20260420_184345,True,,,,19,
20260420_184345,True,,,,19,
20260420_184346,,,rok,32,19,
20260420_184347,True,,,,19,
20260420_184347,True,,,,19,
20260420_184347,True,,,,19,
20260420_184348,,7,,,19,
20260420_184349,,7,,,19,
20260420_184351,,,som,32,19,
20260420_184352,True,,,,19,
20260420_184352,True,,,,19,
20260420_184352,True,,,,19,
20260420_184353,,7,,,19,
20260420_184354,True,,,,19,
20260420_184355,True,,,,19,
20260420_184356,True,,,,19,
20260420_184358,,,ners,29,19,
20260420_184359,True,,,,19,
20260420_184359,True,,,,19,
20260420_184359,True,,,,19,
20260420_184400,True,,,,19,
20260420_184401,True,,,,19,
20260420_184401,,7,,,19,
20260420_184402,True,,,,19,
20260420_184403,True,,,,19,
20260420_184404,True,,,,19,
20260420_184406,,,wote,27,19,
20260420_184408,True,,,,19,
20260420_184408,True,,,,19,
20260420_184408,True,,,,19,
20260420_184409,True,,,,20,
20260420_184410,True,,,,20,
20260420_184410,True,,,,20,
20260420_184411,True,,,,20,
20260420_184411,True,,,,20,
20260420_184412,,,huts,43,20,
